시간,Current Thread 수,호출 건수,동시 사용자,ERROR 수,프로세스 CPU사용률 (%)
8/22/2017 00:00,147,3662,252,537,22.27
8/22/2017 00:01,128,3853,200,457,23.55
8/22/2017 00:02,100,4390,219,495,26.72
8/22/2017 00:03,85.63,4900,209,464,30.18
8/22/2017 00:04,68.33,3766,203,468,23.31
8/22/2017 00:05,85.69,3579,211,444,21.66
8/22/2017 00:06,103,4130,229,532,25.41
8/22/2017 00:07,99.09,4467,218,473,27.72
8/22/2017 00:08,95.03,4491,214,528,26.71
8/22/2017 00:09,104,4540,191,590,27.96
8/22/2017 00:10,121,3612,227,521,21.91
8/22/2017 00:11,115,3682,214,494,21.79
8/22/2017 00:12,121,3527,227,539,23.06
8/22/2017 00:13,102,4502,214,536,28.33
8/22/2017 00:14,108,4256,223,494,26.06
8/22/2017 00:15,116,3784,203,482,22.99
8/22/2017 00:16,84.33,3636,189,450,21.36
8/22/2017 00:17,79.11,3299,187,455,19.28
8/22/2017 00:18,76.66,3833,189,473,22.31
8/22/2017 00:19,79.69,3076,205,451,18.21
8/22/2017 00:20,113,3005,208,480,18.16
8/22/2017 00:21,105,3227,190,463,20.26
8/22/2017 00:22,90.48,3475,196,488,22.43
8/22/2017 00:23,91.38,3314,190,454,19.89
8/22/2017 00:24,87,3227,215,503,20
8/22/2017 00:25,85.66,3179,201,424,19.14
8/22/2017 00:26,108,4383,201,431,26.91
8/22/2017 00:27,95.16,3483,184,441,21.69
8/22/2017 00:28,98.33,3944,178,421,23.04
8/22/2017 00:29,100,4217,199,454,24.88
8/22/2017 00:30,125,3959,180,473,22.95
8/22/2017 00:31,100,3848,190,462,22.12
8/22/2017 00:32,84,3789,194,429,21.47
8/22/2017 00:33,84.15,4010,202,406,23.67
8/22/2017 00:34,85,4186,179,337,22.92
8/22/2017 00:35,122,3682,192,369,21.04
8/22/2017 00:36,85.46,3796,181,384,22.57
8/22/2017 00:37,77.15,3879,204,376,22.4
8/22/2017 00:38,69.16,3503,183,429,20.37
8/22/2017 00:39,78.94,3457,187,470,21.82
8/22/2017 00:40,127,3125,166,358,19.28
8/22/2017 00:41,141,3556,179,417,21.76
8/22/2017 00:42,113,3926,199,445,24.26
8/22/2017 00:43,102,3956,180,483,24.17
8/22/2017 00:44,105,4402,173,457,26.3
8/22/2017 00:45,91.59,4199,174,469,24.67
8/22/2017 00:46,98.3,4047,185,490,24.54
8/22/2017 00:47,99.93,3561,178,445,21.92
8/22/2017 00:48,179,3181,180,399,19.23
8/22/2017 00:49,167,3196,147,412,20.65
8/22/2017 00:50,149,3307,156,432,19.67
8/22/2017 00:51,116,3639,152,463,22.26
8/22/2017 00:52,77.59,3296,160,408,18.68
8/22/2017 00:53,100,4157,180,419,24.15
8/22/2017 00:54,102,3925,154,454,23.42
8/22/2017 00:55,106,4013,165,411,22.81
8/22/2017 00:56,88.06,4177,176,409,25.26
8/22/2017 00:57,81.56,4071,165,447,25.88
8/22/2017 00:58,73.81,3895,159,310,23.52
8/22/2017 00:59,57.59,4113,151,380,23.35
8/22/2017 01:00,112,3852,160,425,24.57
8/22/2017 01:01,98,4011,157,376,24.84
8/22/2017 01:02,71.15,3444,144,400,20.92
8/22/2017 01:03,70.48,3136,127,381,19.19
8/22/2017 01:04,56.27,3562,165,388,20.64
8/22/2017 01:05,61.71,3152,152,406,18.87
8/22/2017 01:06,63.93,3031,140,408,19.79
8/22/2017 01:07,60.16,2736,143,340,16.63
8/22/2017 01:08,65.9,2562,150,320,15.34
8/22/2017 01:09,61.06,2520,147,407,16.7
8/22/2017 01:10,105,2463,153,379,16.13
8/22/2017 01:11,87,2636,136,405,17.39
8/22/2017 01:12,63.29,2745,149,406,17.73
8/22/2017 01:13,70.9,2747,127,347,16.23
8/22/2017 01:14,63.09,3146,119,293,16.92
8/22/2017 01:15,67.95,3358,136,327,19.55
8/22/2017 01:16,63.76,2847,129,355,17.12
8/22/2017 01:17,60.23,2877,141,305,15.95
8/22/2017 01:18,65.8,2601,149,330,14.94
8/22/2017 01:19,58.75,2503,131,314,13.97
8/22/2017 01:20,79.58,2367,135,309,14.5
8/22/2017 01:21,71.83,2127,145,334,13.9
8/22/2017 01:22,58.5,2225,140,289,12.87
8/22/2017 01:23,59.66,2295,139,306,12.6
8/22/2017 01:24,62.08,2277,149,254,14.34
8/22/2017 01:25,54.25,2407,131,314,13.67
8/22/2017 01:26,62.58,2329,111,255,13.06
8/22/2017 01:27,50.08,2196,121,246,13.1
8/22/2017 01:28,49.91,2187,116,300,13.65
8/22/2017 01:29,60.08,2485,142,280,14.64
8/22/2017 01:30,67.33,2135,136,232,12.25
8/22/2017 01:31,64.83,2272,127,277,13.22
8/22/2017 01:32,51.25,2357,122,269,13.84
8/22/2017 01:33,51.54,2840,115,277,15.69
8/22/2017 01:34,53.13,2442,104,272,14.21
8/22/2017 01:35,54.63,2796,106,291,16.23
8/22/2017 01:36,46.4,2916,130,279,16.82
8/22/2017 01:37,58.9,2411,124,254,13.83
8/22/2017 01:38,62.46,2194,123,262,13.4
8/22/2017 01:39,67,2156,132,299,13.97
8/22/2017 01:40,66.03,1968,97.47,312,12.72
8/22/2017 01:41,65.76,2024,129,290,13.16
8/22/2017 01:42,48.73,2028,115,299,12.86
8/22/2017 01:43,44.26,2205,129,350,13.84
8/22/2017 01:44,63.9,2351,106,312,14.5
8/22/2017 01:45,55.33,2489,121,301,14.31
8/22/2017 01:46,55.29,2528,115,281,13.8
8/22/2017 01:47,62.53,2725,105,274,15.77
8/22/2017 01:48,44.08,2011,93.59,239,11.59
8/22/2017 01:49,48.65,1857,79.61,213,10.35
8/22/2017 01:50,50.53,1854,96.85,245,10.08
8/22/2017 01:51,49.53,2189,102,210,11.49
8/22/2017 01:52,42.21,2076,84.58,204,11.74
8/22/2017 01:53,42.16,2302,85.82,215,11.8
8/22/2017 01:54,45.33,2122,80.44,248,11.71
8/22/2017 01:55,49.48,2019,92.54,279,11.46
8/22/2017 01:56,54.33,1874,101,266,10.67
8/22/2017 01:57,54.25,2141,100,288,12.15
8/22/2017 01:58,62.91,1823,74.39,239,11.27
8/22/2017 01:59,43.58,1692,104,219,10.51
8/22/2017 02:00,73.95,1747,101,252,9.92
8/22/2017 02:01,59.56,1857,105,275,12.53
8/22/2017 02:02,47.36,1668,98.72,198,9.56
8/22/2017 02:03,45.88,1669,95.24,219,10.08
